date,time,sleep_state,end_time,duration_minutes
2025-12-03,02:04:04,Core Sleep,02:17:26,13.4
2025-12-03,02:17:26,Deep Sleep,02:41:28,24.0
2025-12-03,02:41:28,Awake,02:47:58,6.5
2025-12-03,02:47:59,Core Sleep,02:51:59,4.0
2025-12-03,02:51:59,Deep Sleep,03:14:00,22.0
2025-12-03,03:14:00,Core Sleep,03:18:00,4.0
2025-12-03,03:16:30,Disturbance,03:18:00,1.5
2025-12-03,03:18:00,REM Sleep,03:38:31,20.5
2025-12-03,03:38:32,Core Sleep,03:47:32,9.0
2025-12-03,03:47:32,Deep Sleep,04:00:34,13.0
2025-12-03,04:00:34,Core Sleep,04:05:34,5.0
2025-12-03,04:05:34,Deep Sleep,04:10:35,5.0
2025-12-03,04:10:35,Core Sleep,04:15:05,4.5
2025-12-03,04:15:05,REM Sleep,04:26:06,11.0
2025-12-03,04:26:06,Core Sleep,04:34:36,8.5
2025-12-03,04:26:06,Disturbance,04:27:36,1.5
2025-12-03,04:34:36,Deep Sleep,04:42:37,8.0
2025-12-03,04:42:37,Core Sleep,04:55:08,12.5
2025-12-03,04:42:37,Disturbance,04:43:07,0.5
2025-12-03,04:55:08,REM Sleep,05:17:10,22.0
2025-12-03,05:17:10,Core Sleep,05:21:40,4.5
2025-12-03,05:21:40,REM Sleep,05:32:40,11.0
2025-12-03,05:32:40,Core Sleep,06:15:14,42.6
2025-12-03,06:15:14,REM Sleep,06:15:44,0.5
2025-12-03,06:15:44,Core Sleep,06:16:14,0.5
2025-12-03,06:15:44,Disturbance,06:16:14,0.5
2025-12-03,06:16:14,REM Sleep,06:18:44,2.5
2025-12-03,06:18:44,Awake,06:22:44,4.0
2025-12-03,06:22:44,Core Sleep,06:30:45,8.0
2025-12-03,06:30:45,Deep Sleep,06:38:45,8.0
2025-12-03,06:38:45,Core Sleep,06:53:47,15.0
2025-12-03,06:38:45,Disturbance,06:40:16,1.5
2025-12-03,06:53:47,REM Sleep,07:27:18,33.5
2025-12-03,07:27:18,Core Sleep,08:03:52,36.6
2025-12-03,08:03:52,Deep Sleep,08:07:22,3.5
2025-12-03,08:07:22,Core Sleep,08:39:54,32.5
2025-12-03,08:07:22,Disturbance,08:08:22,1.0
2025-12-03,08:20:23,Disturbance,08:21:53,1.5
2025-12-03,08:30:24,Disturbance,08:31:24,1.0
2025-12-03,08:38:24,Disturbance,08:38:54,0.5
2025-12-03,08:39:55,REM Sleep,08:44:25,4.5
2025-12-03,08:44:25,Core Sleep,08:44:55,0.5
2025-12-03,08:44:25,Disturbance,08:44:55,0.5
2025-12-03,08:44:55,REM Sleep,08:48:55,4.0
2025-12-03,08:48:55,Core Sleep,08:49:25,0.5
2025-12-03,08:48:55,Disturbance,08:49:25,0.5
2025-12-03,08:49:25,REM Sleep,08:50:56,1.5
2025-12-03,08:50:56,Core Sleep,08:51:26,0.5
2025-12-03,08:50:56,Disturbance,08:51:26,0.5
2025-12-03,08:51:26,REM Sleep,08:53:26,2.0
2025-12-03,08:53:26,Core Sleep,08:58:56,5.5
2025-12-03,08:53:26,Disturbance,08:54:26,1.0
