timestamp,classification
2025-11-24 23:42:35.540,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:37.790,"inBed, Awake"
2025-11-24 23:42:40.150,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:42.290,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:43.410,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:45.660,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:47.640,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:49.770,"inBed, Awake"
2025-11-24 23:42:52.020,"inBed, Asleep, REM Sleep"
2025-11-24 23:42:54.160,"inBed, Asleep, REM Sleep"
2025-11-24 23:42:56.300,"inBed, Asleep, REM Sleep"
2025-11-24 23:42:58.430,"inBed, Asleep, Core Sleep"
2025-11-24 23:42:59.560,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:01.820,"inBed, Asleep, REM Sleep"
2025-11-24 23:43:03.950,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:06.180,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:08.430,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:09.550,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:09.550,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:09.550,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:15.850,"inBed, Awake"
2025-11-24 23:43:18.230,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:19.360,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:21.720,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:23.860,"inBed, Awake"
2025-11-24 23:43:26.110,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:28.270,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:30.410,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:32.650,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:33.670,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:35.930,"inBed, Awake"
2025-11-24 23:43:38.190,"inBed, Awake"
2025-11-24 23:43:41.280,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:43.570,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:45.640,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:46.650,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:48.980,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:51.540,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:53.800,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:54.930,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:57.090,"inBed, Asleep, Core Sleep"
2025-11-24 23:43:59.340,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:01.620,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:03.760,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:06.250,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:07.260,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:09.610,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:11.870,"inBed, Awake"
2025-11-24 23:44:14.130,"inBed, Awake"
2025-11-24 23:44:16.270,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:18.530,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:20.790,"inBed, Awake"
2025-11-24 23:44:21.920,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:24.070,"inBed, Asleep, REM Sleep"
2025-11-24 23:44:26.410,"inBed, Asleep, REM Sleep"
2025-11-24 23:44:28.560,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:30.830,"inBed, Asleep, REM Sleep"
2025-11-24 23:44:33.100,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:34.110,"inBed, Asleep, REM Sleep"
2025-11-24 23:44:36.470,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:38.840,"inBed, Awake"
2025-11-24 23:44:41.100,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:43.250,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:45.490,"inBed, Awake"
2025-11-24 23:44:47.630,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:48.760,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:51,"inBed, Asleep, Core Sleep"
2025-11-24 23:44:53.160,"inBed, Asleep, REM Sleep"
2025-11-24 23:44:55.420,"inBed, Awake"
2025-11-24 23:44:57.660,"inBed, Awake"
2025-11-24 23:45:00.010,"inBed, Awake"
2025-11-24 23:45:01.140,"inBed, Awake"
2025-11-24 23:45:03.280,"inBed, Awake"
2025-11-24 23:45:05.650,"inBed, Awake"
2025-11-24 23:45:07.790,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:10.130,"inBed, Awake"
2025-11-24 23:45:12.280,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:13.400,"inBed, Awake"
2025-11-24 23:45:15.770,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:18.150,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:20.400,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:22.540,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:23.670,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:26.030,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:28.300,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:30.550,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:32.800,"inBed, Awake"
2025-11-24 23:45:34.950,"inBed, Asleep, Core Sleep"
2025-11-24 23:45:36.180,"inBed, Awake"
2025-11-24 23:45:38.350,"inBed, Asleep, REM Sleep"
2025-11-24 23:45:40.480,"inBed, Asleep, REM Sleep"
2025-11-24 23:45:42.730,"inBed, Asleep, REM Sleep"
2025-11-24 23:45:44.870,"inBed, Asleep, Core Sleep"
